**************************************************************
C(RELU)
|
|--C1(Huber Loss)--X
|              
|--C2(Leaky RELU)--X
|
|--C3(Xa-Ka-Ka)--X                |-->OC0A(Disruptive)-->0C0A1(WIDTH=50) 
|                                 |
|--C4(Ka-Ka-Xa)->C4A(LR=0.0001)->C4B-x->0C0 (No change during last phase)
                                  |     |
                                  x     x                               
                                  |     |
                                  |     |-->OC3(DEPTH=3)->0C3A(Disruptive Training)--!!!
                                  |     |
                                  |     |-->OC2(WIDTH=50)->0C2A(Disruptive Training)--OK
                                  |     
                                  |
                                  |--->0C--------------XX
                                       |
                                       0C1(WIDTH=50) --XX


HYPOTHESIS:
Disruptive training with sawtooth EPSILON ranging from 0.5 to 0.95 to make model more robust

Increase WIDTH so that network learns better during disruption

MODEL:
0C0A1 : INPUT->FC1->RELU->FC2->RELU->OUT
LOSS : MSE

LEARNING:   INIT_WEIGHT     = FC1 : KAIMING
                              FC2 : KAIMING
                              OUT : XAVIER
            WIDTH           = 50
            DEPTH           = 2
            WEIGHT_DECAY    = 1E-3
            LR              = 1E-4
            UPDATE_FREQ     = 18 MONTHS
            MEMORY          = 24 MONTHS
            ITERATION       = 50
            BATCH_SIZE      = 32
            EPSILON         = SAWTOOTH (0.5-0.95)              
            GAMMA           = 0.9                
            LAMBDA          = 0.9
            
TRAINING:   TOKYO[2000-2009]
            BATTERY_RESET    = 0 %
            REWARD_FUNC      = TYPE2
                               violation_penalty = 3
                               battery full = -2
                               battery dead = -4
                               R = r1*(2**r2) - violation_penalty
            REWARD_BROADCAST = TRUE
            
            LAST TRAINING ITERATIONS = 10 [TOKYO, 2000-2009]
            VALIDATION SET = [TOKYO, 2010-2015]
            EPSILON                  = 0.95
            LR                       = 1E-4
            
TESTING:    TOKYO[2000-2018]
            GREEDY POLICY
   

RESULTS:
SEED 0
TESTING BEST MODEL BASED ON AVERAGE REWARD METRIC
YEAR		AVG_RWD		VIOLATIONS
2000 		 1.4 		 0
2001 		 1.45 		 0
2002 		 1.34 		 0
2003 		 1.38 		 0
2004 		 1.39 		 0
2005 		 1.48 		 0
2006 		 1.4 		 0
2007 		 1.41 		 0
2008 		 1.44 		 0
2009 		 1.41 		 0
2010 		 1.4 		 0
2011 		 1.45 		 0
2012 		 1.4 		 0
2013 		 1.44 		 0
2014 		 1.37 		 0
2015 		 1.37 		 0
2016 		 1.39 		 0
2017 		 1.44 		 0
2018 		 1.38 		 0
TESTING BASED ON VIOLATION COUNTER METRIC
YEAR		AVG_RWD		VIOLATIONS
2000 		 1.4 		 0
2001 		 1.45 		 0
2002 		 1.34 		 0
2003 		 1.38 		 0
2004 		 1.39 		 0
2005 		 1.48 		 0
2006 		 1.4 		 0
2007 		 1.41 		 0
2008 		 1.44 		 0
2009 		 1.41 		 0
2010 		 1.4 		 0
2011 		 1.45 		 0
2012 		 1.4 		 0
2013 		 1.44 		 0
2014 		 1.37 		 0
2015 		 1.37 		 0
2016 		 1.39 		 0
2017 		 1.44 		 0
2018 		 1.38 		 0

SEED 1
TESTING BEST MODEL BASED ON AVERAGE REWARD METRIC
YEAR		AVG_RWD		VIOLATIONS
2000 		 1.46 		 0
2001 		 1.51 		 0
2002 		 1.41 		 0
2003 		 1.46 		 0
2004 		 1.45 		 0
2005 		 1.56 		 0
2006 		 1.49 		 0
2007 		 1.46 		 0
2008 		 1.5 		 0
2009 		 1.49 		 0
2010 		 1.48 		 0
2011 		 1.52 		 0
2012 		 1.44 		 0
2013 		 1.47 		 0
2014 		 1.42 		 0
2015 		 1.42 		 0
2016 		 1.47 		 0
2017 		 1.5 		 0
2018 		 1.45 		 0
TESTING BASED ON VIOLATION COUNTER METRIC
YEAR		AVG_RWD		VIOLATIONS
2000 		 1.46 		 0
2001 		 1.51 		 0
2002 		 1.41 		 0
2003 		 1.46 		 0
2004 		 1.45 		 0
2005 		 1.56 		 0
2006 		 1.49 		 0
2007 		 1.46 		 0
2008 		 1.5 		 0
2009 		 1.49 		 0
2010 		 1.48 		 0
2011 		 1.52 		 0
2012 		 1.44 		 0
2013 		 1.47 		 0
2014 		 1.42 		 0
2015 		 1.42 		 0
2016 		 1.47 		 0
2017 		 1.5 		 0
2018 		 1.45 		 0


SEED 2
TESTING BEST MODEL BASED ON AVERAGE REWARD METRIC
YEAR		AVG_RWD		VIOLATIONS
2000 		 1.37 		 0
2001 		 1.44 		 0
2002 		 1.3 		 1
2003 		 1.34 		 2
2004 		 1.33 		 3
2005 		 1.48 		 0
2006 		 1.34 		 0
2007 		 1.39 		 0
2008 		 1.44 		 0
